NPI,Name,City,State,Zip,MAC
1366850331,YE WANG,MIAMI,FL,33136,FCSO
1306026281,SAVAK TEYMOORIAN,LAGUNA HILLS,CA,92653,Noridian
1639497258,ARDALAN AMINLARI,ENCINITAS,CA,92024,Noridian
1720196314,JOHN BELARDO,OKLAHOMA CITY,OK,73120,Novitas
1386601318,STEVEN SARKISIAN,OKLAHOMA CITY,OK,73112,Novitas
1952677858,ARKADIY YADGAROV,ATLANTA,GA,30342,Palmetto
1033522529,KEVIN TALBOT,BEAUMONT,TX,77707,Novitas
1063703734,CHRISTINE FUNKE,PHOENIX,AZ,85016,Noridian
